team,elo
Argentina,1956.759499089017
Spain,1919.5462146134937
France,1914.176521188614
England,1883.565596371291
Brazil,1862.8309214327746
Germany,1851.1251650559243
Netherlands,1835.2528948746951
Colombia,1833.1932909089435
Portugal,1825.6079747443407
Morocco,1817.636218051219
Japan,1816.98345130989
Belgium,1806.9843999473694
Italy,1798.012751439169
Mexico,1797.676855575757
Croatia,1792.002090648076
Uruguay,1780.415464149801
Iran,1778.1299205295081
Switzerland,1769.8564283969988
Australia,1767.479301506365
South Korea,1766.851596474477
Senegal,1755.8056073481232
Ecuador,1750.964914839011
United States,1748.2676853229875
Ivory Coast,1733.2232933930059
Denmark,1732.0906551424457
Algeria,1726.1469486034518
Turkey,1720.533982042977
Norway,1715.7140732118635
Egypt,1713.7845655794642
Russia,1713.0678690991965
Austria,1711.2363705825896
Nigeria,1704.768850977003
Canada,1704.7094987533903
Uzbekistan,1690.2810433929892
Sweden,1690.1578934391996
Ukraine,1688.3359097595903
Jersey,1683.8561310858893
Poland,1683.3376857624964
Paraguay,1672.6796813472276
Scotland,1665.749806249783
Serbia,1662.9186087697246
Yugoslavia,1660.4381180512917
Iraq,1656.8381090121075
Czech Republic,1656.3685038943397
Panama,1652.0458506211385
Chile,1650.530353543133
Cameroon,1650.1530524637317
Costa Rica,1648.5134984413423
Czechoslovakia,1648.321017969768
Hungary,1647.3102513069014
Saudi Arabia,1646.8411760895212
Tunisia,1643.610651965814
Venezuela,1643.0840004449326
Peru,1640.4581618487186
Greece,1638.1541576564932
DR Congo,1637.902588988766
Wales,1636.0630304186072
Guernsey,1633.817875530679
Basque Country,1629.0228454452244
Republic of Ireland,1625.7851828133273
Jordan,1620.9157347681044
New Zealand,1618.4088524372792
Qatar,1616.8138219277091
Mali,1616.1481534846885
South Africa,1615.856978637709
United Arab Emirates,1615.4593068507895
Ghana,1614.6626732988184
Slovakia,1611.0734482026332
German DR,1609.8361170824
Slovenia,1603.6542153831028
Romania,1595.963427892334
Cape Verde,1593.9905635376485
Bosnia and Herzegovina,1592.201897308063
Burkina Faso,1591.4837689428462
Padania,1590.8886199469425
Oman,1583.5293028265862
Jamaica,1576.231766299571
Honduras,1573.9267923617808
Ynys Môn,1573.4724645849044
Isle of Man,1568.9286974649024
Kosovo,1567.2894026221818
Catalonia,1559.8908139668538
Guatemala,1559.2806112784863
Haiti,1557.0850179476313
Isle of Wight,1555.6574603433392
Israel,1549.730482569294
China,1549.4547760026524
Georgia,1548.9471293093968
Northern Cyprus,1548.6080555309306
Occitania,1548.177219263303
Bolivia,1545.5808238753982
Thailand,1544.7127702765347
Iceland,1541.1760342456914
New Caledonia,1540.0301945177323
Abkhazia,1539.96010835813
Andalusia,1539.871682427392
Bahrain,1538.9962577818765
Réunion,1537.7091290013204
Albania,1537.2787785674443
North Macedonia,1537.2371020756327
Finland,1536.5011641996614
Northern Ireland,1536.3317780677814
Kernow,1532.6578272368517
Rhodes,1529.5157580645696
Angola,1528.7783564592598
Gabon,1528.370077582908
Iraqi Kurdistan,1524.5802413439496
County of Nice,1523.9491137578243
Kárpátalja,1523.479324023942
Syria,1522.956056335254
Ellan Vannin,1522.4175860926757
Corsica,1522.3673431800491
Tahiti,1520.0568398810672
Yorkshire,1519.5154677503172
Tamil Eelam,1517.8050005031341
Kurdistan,1516.4153738807458
Artsakh,1515.9011927332824
Libya,1515.6957436447974
Galicia,1515.5332189857156
Guinea,1514.6368312898855
Menorca,1514.6201781582301
Brittany,1512.6634518610078
Panjab,1512.1781166722865
Guadeloupe,1512.0230664351825
Suriname,1511.1271347096106
Arameans Suryoye,1510.6498889303953
Uganda,1510.4011786994945
Maule Sur,1509.855093566347
Zambia,1509.2934582703197
Elba Island,1508.9681992198246
Cascadia,1507.3444047898843
Martinique,1507.1768541865652
Palestine,1505.89775531511
Åland Islands,1505.5360122575757
Asturias,1505.1428372373368
Canary Islands,1505.130617248165
Biafra,1505.082852337852
Surrey,1504.8518503024954
Parishes of Jersey,1504.8427303699611
Vietnam,1504.5858895585545
Curaçao,1504.3843526003225
Quebec,1504.058647018702
Crimea,1503.7029976298284
Franconia,1503.6131529352263
Silesia,1502.6612995886915
Benin,1502.5508252678103
Fiji,1502.198715933344
United Koreans in Japan,1501.9967584041174
Trinidad and Tobago,1501.349823702206
Donetsk PR,1500.7580807443667
Chameria,1500.2325367924993
Central Spain,1500.1407832978136
Mapuche,1500.0719508170905
Felvidék,1499.9199532218995
Saugeais,1499.7680174497584
Délvidék,1499.5624156726449
Montenegro,1498.9430030483863
Bulgaria,1497.9010412818873
Matabeleland,1497.8736200967535
Sealand,1497.53440389852
North Korea,1497.1488068884087
Western Armenia,1496.8729619172927
Madrid,1495.507393287697
Cilento,1495.0813316928125
Somaliland,1494.9878426404616
Ryūkyū,1494.9412875312394
Yoruba Nation,1494.8971673651424
Seborga,1494.89101021368
Luhansk PR,1494.8398074510915
West Papua,1494.3544663570644
East Turkestan,1494.0496871044297
Hmong,1494.045056397588
Gozo,1493.3402061721322
Indonesia,1493.1062235433333
Republic of St. Pauli,1493.057888569537
Kabylia,1492.5917102719932
Niue,1491.1041270282592
South Ossetia,1490.3807534068646
Chechnya,1490.1446310135752
Aymara,1490.0729556165625
South Yemen,1489.7709462036064
Monaco,1489.2691391009266
Malaysia,1488.8956208301533
Ticino,1488.7475660626153
Kuwait,1488.423006555803
Palau,1488.076317693572
Sápmi,1487.4245975301349
Romani people,1487.059876699011
Găgăuzia,1486.1634868815993
Saint Barthélemy,1484.9681182936122
Marshall Islands,1484.8027602589598
El Salvador,1484.7862968103527
Manchukuo,1484.074799749174
Solomon Islands,1484.0041017816106
Shetland,1482.2993728836652
Western Isles,1481.958378024995
Gotland,1481.8865377034165
Western Sahara,1481.8296507812288
Two Sicilies,1480.375679832827
Sark,1479.8139588328881
Székely Land,1478.7731350474694
Saarland,1477.9630406086067
North Vietnam,1477.3457605176127
Ambazonia,1475.4978732238194
Kenya,1474.4425529766831
Vanuatu,1474.3751166897455
Micronesia,1474.2708774340213
Madagascar,1473.6271571402112
Vatican City,1473.5757567212274
Barawa,1472.6587328747792
Provence,1472.5438844121759
Tajikistan,1472.1579399899845
Mozambique,1471.5183891259617
Belarus,1467.956059078152
Gambia,1467.4182256449312
Mayotte,1467.0357453196875
Darfur,1466.44610843317
Western Australia,1464.962234005091
Saint Helena,1464.7500733770619
Saint Pierre and Miquelon,1464.593792406104
Togo,1463.453541684925
Orkney,1462.1787829690538
Raetia,1461.7899434636324
Equatorial Guinea,1461.1590228074601
Vietnam Republic,1461.0668825947664
Chagos Islands,1460.9912172172023
Greenland,1460.7977069151032
Dominican Republic,1460.2899835052576
Papua New Guinea,1455.9275514184542
Guyana,1452.3484636547132
Kyrgyzstan,1451.8273379045534
Kiribati,1451.6940726303603
Hitra,1451.6527719645824
Sierra Leone,1450.8746668215133
Lebanon,1450.7106114942785
Namibia,1443.6655459115461
Yemen DPR,1443.5182784336953
French Guiana,1443.3953158574384
Zimbabwe,1442.7295509365067
Rwanda,1441.9814002769706
Comoros,1440.160709260672
Wallis Islands and Futuna,1439.653243483017
Nicaragua,1439.118984394656
Zanzibar,1434.5342709444615
Sudan,1432.8560731193863
Cuba,1432.2286884965827
Niger,1431.722525238091
Malawi,1429.9620870129397
Tanzania,1429.7129671782282
Turkmenistan,1428.8714421399684
Sint Maarten,1428.0517054121458
Saare County,1425.0488738689064
Ethiopia,1423.3088876023135
Mauritania,1422.2622807044606
Tibet,1421.6531367658074
Armenia,1420.9876618135138
Botswana,1420.2489346760192
Tuvalu,1420.098043505542
Liberia,1420.0407468354306
Estonia,1418.4601747857357
Saint Kitts and Nevis,1417.4552279644377
Kazakhstan,1416.0855243142396
Bermuda,1415.8868365905078
Congo,1415.3808011735987
Puerto Rico,1410.0531693538774
Falkland Islands,1410.0159818878858
Frøya,1409.9587799606722
Samoa,1409.6844949326294
Bonaire,1407.2401564856439
Saint Martin,1405.5464866229365
Burundi,1399.3789128229212
Guinea-Bissau,1396.567257509527
Saint Vincent and the Grenadines,1394.7470648459005
Lesotho,1391.9408240408577
Hong Kong,1391.77898577461
Singapore,1390.793593950818
India,1383.9234587463318
Azerbaijan,1381.1182391406687
Philippines,1378.977901566422
Central African Republic,1376.9019267582055
Cyprus,1376.7594339939903
Grenada,1374.2931416602523
Montserrat,1371.8355447207748
Northern Mariana Islands,1371.4796294866117
Belize,1369.2674099119106
Saint Lucia,1364.3065414820294
Luxembourg,1361.5123437175948
Antigua and Barbuda,1361.4851332731444
Cook Islands,1359.2801541203735
South Sudan,1357.9264777498415
Latvia,1353.997292579345
Tonga,1351.2680337448437
Eritrea,1349.284576896219
Faroe Islands,1346.3649321330051
Yemen,1345.490728466441
Eswatini,1343.3964416468782
Lithuania,1339.1348327423718
Afghanistan,1337.9965206683687
Chad,1334.0839516374315
Turks and Caicos Islands,1332.2625874004568
Aruba,1325.1641461618315
Barbados,1322.9961486123118
Dominica,1321.3444108877704
Malta,1315.9568625669667
São Tomé and Príncipe,1314.3897678176295
Bahamas,1310.4741590754745
American Samoa,1310.2588561935822
Moldova,1308.8982910792274
Myanmar,1307.639081399415
Mauritius,1307.1294959446643
Cayman Islands,1298.4048646910342
Bangladesh,1285.232025381977
Gibraltar,1276.542069368437
Nepal,1276.4260515492429
United States Virgin Islands,1273.6423144446242
British Virgin Islands,1263.3516321231523
Maldives,1263.310351495892
Mongolia,1263.242062419182
Taiwan,1253.3918192470594
Alderney,1249.0629772167222
Guam,1248.0355710958581
Cambodia,1234.3317141812033
Somalia,1227.692868355279
Pakistan,1227.2533032324259
Anguilla,1221.5087318278622
Djibouti,1219.6286670512272
Sri Lanka,1207.6535736104483
Seychelles,1205.7082258990108
Laos,1198.6520850324325
Brunei,1198.5831171762295
Andorra,1196.025948526582
Bhutan,1184.1719071474188
Timor-Leste,1177.4463308831014
Macau,1173.2202288937654
Liechtenstein,1145.0951157181623
San Marino,1069.1270682547708
